cusip,asset_class_type_cd,ISSUER_INDUSTRY,MTG_AMORT_TYPE_LEVEL_FRM_CURR,MTG_TYPE,MTG_PREPAY_TYP,SECURITY_TYP,SECURITY_TYP2,CPN_TYP,MARKET_SECTOR_DES,MTG_COLLAT_TYP,tax_code_c,bank_qualified_i,dated_date_d,capital_purpose_c
882722PE5,MUNIBE,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,2/25/10,NEW
843375QL3,MUNIGM,PWR,,,,"ZERO COUPON, OID",,"ZERO COUPON, OID",Muni,,EXMP,N,10/13/94,REF
843460CV6,MUNIGM,PWR,,,,FIXED,,FIXED,Muni,,EXMP,N,3/5/15,REF
848321BL8,MUNIBQ,SCD,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,4/30/12,REF
848647BX0,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,11/20/14,NEW
848780QT2,MUNIBQ,SCD,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,1/30/13,REF
850622FQ9,MUNIBQ,FAC,,,,FIXED,,FIXED,Muni,,EXMP,Y,3/6/12,NEW
928245FP9,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,9/9/14,REF
92884PDJ8,MUNIGM,EDU,,,,FIXED,,FIXED,Muni,,EXMP,N,11/17/16,NEW
9292273J3,PLMBS,,100,"SEQ,AS",PSA,Prvt CMO Other,Whole Loan,FIXED,Mtge,WH15 4.9,,,,
929227N69,PLMBS,,100,"SEQ,AS",CPR,Prvt CMO Other,Whole Loan,FIXED,Mtge,WH15 5.4,,,,
929227X76,PLMBS,,100,PAC(11)+,PSA,Prvt CMO Other,Whole Loan,FIXED,Mtge,WH30 4.8,,,,
921662LN0,MUNIGM,SCD,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,3/17/09,REF
92343VBR4,USCORP,TELEPHONE,,,,GLOBAL,,FIXED,Corp,,,,,
925513FF5,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,10/1/14,REF
92603PEV0,MUNITAX,GOB,,,,FIXED,,FIXED,Muni,,TAX,N,5/5/16,REF
926336LY2,MUNIGM,WTR,,,,FIXED,,FIXED,Muni,,EXMP,N,11/1/17,REF
92817LRG0,MUNIGM,WTR,,,,FIXED,,FIXED,Muni,,EXMP,N,4/14/15,REF
960113EN4,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,8/15/15,REF
960130KS0,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,4/15/15,REF
960470KJ0,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,12/30/14,REF
961214BV4,USCORP,BANK,,,,GLOBAL,,FIXED,Corp,,,,,
962506QF1,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,7/29/14,REF
962506RV5,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,9/6/17,REF
940197AQ9,MUNIBQ,WTR,,,,FIXED,,FIXED,Muni,,EXMP,Y,1/26/17,NEW
942170JH5,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,5/22/14,NEW
942221GQ9,MUNIBQ,SCD,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,10/20/09,REF
942860RQ2,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,9/27/17,REF
947389CJ9,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,12/4/12,REF
947389CN0,MUNIBQ,GOB,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,12/4/12,REF
931408DJ4,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,10/22/15,REF
931422AE9,USCORP,INDUSTRIAL,,,,GLOBAL,,FIXED,Corp,,,,,
934622CN9,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,3/4/14,NEW
935069EU4,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,3/26/15,REF
935324V26,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,10/1/12,REF
937220CX7,MUNIBQ,HGR,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,6/30/10,REF
92817QR20,MUNITAX,BAB,,,,FIXED,,FIXED,Muni,,TAX,N,11/23/10,REF
92818ltl6,MUNIGM,,,,,,,,,,EXMP,N,6/13/12,REF
930863T54,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,5/13/10,REF
930876BK2,MUNIBE,GEN,,,,FIXED,,FIXED,Muni,,EXMP,N,8/18/09,NEW
935079AF0,MUNIGM,GEN,,,,FIXED,,FIXED,Muni,,EXMP,N,11/10/15,REF
936268GV7,MUNIBQ,WTR,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,11/1/12,REF
8827236W4,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,2/1/17,REF
882723MV8,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,7/2/14,REF
882723RG6,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,10/15/14,NEW
88276REQ1,MUNIGM,HGR,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,4/1/16,REF
882806EN8,MUNITAX,HGR,,,,FIXED,,FIXED,Muni,,TAX,N,4/9/15,REF
887556EP9,MUNIBQ,FAC,,,,FIXED,,FIXED,Muni,,EXMP,Y,12/19/12,NEW
962525HV6,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,9/29/16,NEW
964848FC4,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,3/11/15,REF
968717QJ0,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,11/15/10,REF
968852G72,MUNITAX,SCD,,,,FIXED,,FIXED,Muni,,TAX,N,12/21/11,REF
970225CQ9,MUNITAX,BAB,,,,FIXED,,FIXED,Muni,,TAX,N,9/30/10,NEW
970856CX6,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,2/28/12,REF
854582CC5,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,2/21/18,REF
856597EE5,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,3/28/12,REF
860248YV9,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,5/11/16,REF
861493BY9,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,4/7/15,REF
86359BFN6,PLMBS,,,"CSTR,PT+",PSA,Prvt CMO Other,Whole Loan,VARIABLE,Mtge,WHARM3.3,,,,
866475CY0,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,7/20/16,REF
937659CT5,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,10/17/17,REF
939336U43,PLMBS,,100,"SEQ,AS",CPR,Prvt CMO Other,Whole Loan,FIXED,Mtge,WH30 5.2,,,,
93974C6L9,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,2/5/13,NEW
93974CBQ2,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,7/23/08,NEW
93974CEA4,MUNIBE,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,1/22/09,NEW
